timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1709442000000,2024-03-03T05:00:00Z,899-1-1-05,,device_not_recording
1709442060000,2024-03-03T05:01:00Z,899-1-1-05,,device_not_recording
1709442120000,2024-03-03T05:02:00Z,899-1-1-05,,device_not_recording
1709442180000,2024-03-03T05:03:00Z,899-1-1-05,,device_not_recording
1709442240000,2024-03-03T05:04:00Z,899-1-1-05,,device_not_recording
1709442300000,2024-03-03T05:05:00Z,899-1-1-05,,device_not_recording
1709442360000,2024-03-03T05:06:00Z,899-1-1-05,,device_not_recording
1709442420000,2024-03-03T05:07:00Z,899-1-1-05,,device_not_recording
1709442480000,2024-03-03T05:08:00Z,899-1-1-05,,device_not_recording
1709442540000,2024-03-03T05:09:00Z,899-1-1-05,,device_not_recording
1709442600000,2024-03-03T05:10:00Z,899-1-1-05,,device_not_recording
1709442660000,2024-03-03T05:11:00Z,899-1-1-05,,device_not_recording
1709442720000,2024-03-03T05:12:00Z,899-1-1-05,,device_not_recording
1709442780000,2024-03-03T05:13:00Z,899-1-1-05,,device_not_recording
1709442840000,2024-03-03T05:14:00Z,899-1-1-05,,device_not_recording
1709442900000,2024-03-03T05:15:00Z,899-1-1-05,,device_not_recording
1709442960000,2024-03-03T05:16:00Z,899-1-1-05,,device_not_recording
1709443020000,2024-03-03T05:17:00Z,899-1-1-05,,device_not_recording
1709443080000,2024-03-03T05:18:00Z,899-1-1-05,,device_not_recording
1709443140000,2024-03-03T05:19:00Z,899-1-1-05,,device_not_recording
1709443200000,2024-03-03T05:20:00Z,899-1-1-05,,device_not_recording
1709443260000,2024-03-03T05:21:00Z,899-1-1-05,,device_not_recording
1709443320000,2024-03-03T05:22:00Z,899-1-1-05,,device_not_recording
1709443380000,2024-03-03T05:23:00Z,899-1-1-05,,device_not_recording
1709443440000,2024-03-03T05:24:00Z,899-1-1-05,,device_not_recording
1709443500000,2024-03-03T05:25:00Z,899-1-1-05,,device_not_recording
1709443560000,2024-03-03T05:26:00Z,899-1-1-05,,device_not_recording
1709443620000,2024-03-03T05:27:00Z,899-1-1-05,,device_not_recording
1709443680000,2024-03-03T05:28:00Z,899-1-1-05,,device_not_recording
1709443740000,2024-03-03T05:29:00Z,899-1-1-05,,device_not_recording
1709443800000,2024-03-03T05:30:00Z,899-1-1-05,,device_not_recording
1709443860000,2024-03-03T05:31:00Z,899-1-1-05,,device_not_recording
1709443920000,2024-03-03T05:32:00Z,899-1-1-05,,device_not_recording
1709443980000,2024-03-03T05:33:00Z,899-1-1-05,,device_not_recording
1709444040000,2024-03-03T05:34:00Z,899-1-1-05,,device_not_recording
1709444100000,2024-03-03T05:35:00Z,899-1-1-05,,device_not_recording
1709444160000,2024-03-03T05:36:00Z,899-1-1-05,,device_not_recording
1709444220000,2024-03-03T05:37:00Z,899-1-1-05,,device_not_recording
1709444280000,2024-03-03T05:38:00Z,899-1-1-05,,device_not_recording
1709444340000,2024-03-03T05:39:00Z,899-1-1-05,,device_not_recording
1709444400000,2024-03-03T05:40:00Z,899-1-1-05,,device_not_recording
1709444460000,2024-03-03T05:41:00Z,899-1-1-05,,device_not_recording
1709444520000,2024-03-03T05:42:00Z,899-1-1-05,,device_not_recording
1709444580000,2024-03-03T05:43:00Z,899-1-1-05,,device_not_recording
1709444640000,2024-03-03T05:44:00Z,899-1-1-05,,device_not_recording
1709444700000,2024-03-03T05:45:00Z,899-1-1-05,,device_not_recording
1709444760000,2024-03-03T05:46:00Z,899-1-1-05,,device_not_recording
1709444820000,2024-03-03T05:47:00Z,899-1-1-05,,device_not_recording
1709444880000,2024-03-03T05:48:00Z,899-1-1-05,,device_not_recording
1709444940000,2024-03-03T05:49:00Z,899-1-1-05,,device_not_recording
1709445000000,2024-03-03T05:50:00Z,899-1-1-05,,device_not_recording
1709445060000,2024-03-03T05:51:00Z,899-1-1-05,,device_not_recording
1709445120000,2024-03-03T05:52:00Z,899-1-1-05,,device_not_recording
1709445180000,2024-03-03T05:53:00Z,899-1-1-05,,device_not_recording
1709445240000,2024-03-03T05:54:00Z,899-1-1-05,,device_not_recording
1709445300000,2024-03-03T05:55:00Z,899-1-1-05,,device_not_recording
1709445360000,2024-03-03T05:56:00Z,899-1-1-05,,device_not_recording
1709445420000,2024-03-03T05:57:00Z,899-1-1-05,,device_not_recording
1709445480000,2024-03-03T05:58:00Z,899-1-1-05,,device_not_recording
1709445540000,2024-03-03T05:59:00Z,899-1-1-05,,device_not_recording
1709445600000,2024-03-03T06:00:00Z,899-1-1-05,,device_not_recording
1709445660000,2024-03-03T06:01:00Z,899-1-1-05,,device_not_recording
1709445720000,2024-03-03T06:02:00Z,899-1-1-05,,device_not_recording
1709445780000,2024-03-03T06:03:00Z,899-1-1-05,,device_not_recording
1709445840000,2024-03-03T06:04:00Z,899-1-1-05,,device_not_recording
1709445900000,2024-03-03T06:05:00Z,899-1-1-05,,device_not_recording
1709445960000,2024-03-03T06:06:00Z,899-1-1-05,,device_not_recording
1709446020000,2024-03-03T06:07:00Z,899-1-1-05,,device_not_recording
1709446080000,2024-03-03T06:08:00Z,899-1-1-05,,device_not_recording
1709446140000,2024-03-03T06:09:00Z,899-1-1-05,,device_not_recording
1709446200000,2024-03-03T06:10:00Z,899-1-1-05,,device_not_recording
1709446260000,2024-03-03T06:11:00Z,899-1-1-05,,device_not_recording
1709446320000,2024-03-03T06:12:00Z,899-1-1-05,,device_not_recording
1709446380000,2024-03-03T06:13:00Z,899-1-1-05,,device_not_recording
1709446440000,2024-03-03T06:14:00Z,899-1-1-05,,device_not_recording
